M0001,dv7,22
M0001,dv13,39
M0001,dv19,39
M0002,dv7,49
M0002,dv13,124
M0002,dv19,61
M0003,dv7,67
M0003,dv13,67
M0003,dv19,75
M0004,dv7,193
M0004,dv13,350
M0004,dv19,290
M0005,dv7,1206
M0005,dv13,1239
M0005,dv19,1262
M0006,dv7,2069
M0006,dv13,2086
M0006,dv19,2112
M0007,dv7,102
M0007,dv13,314
M0007,dv19,296
M0008,dv7,611
M0008,dv13,624
M0008,dv19,626
M0024,dv7,359
M0024,dv13,358
M0024,dv19,398
M0025,dv7,57
M0025,dv13,70
M0025,dv19,95
M0026,dv7,130
M0026,dv13,219
M0026,dv19,175
M0027,dv7,1359
M0027,dv13,1434
M0027,dv19,1462
M0031,dv7,130
M0031,dv13,157
M0031,dv19,152
M0033,dv7,207
M0033,dv13,232
M0033,dv19,221
M0037,dv7,55
M0037,dv13,106
M0037,dv19,114
M0056,dv7,15
M0056,dv13,40
M0056,dv19,44
M0057,dv7,674
M0057,dv13,1052
M0057,dv19,1456
M0058,dv7,136
M0058,dv13,146
M0058,dv19,1895
M0059,dv7,2155
M0059,dv13,2361
M0059,dv19,2862
M0062,dv7,22
M0062,dv13,56
M0062,dv19,85
M0063,dv7,35
M0063,dv13,137
M0063,dv19,257
M0064,dv7,1762
M0064,dv13,1810
M0064,dv19,1872
M0066,dv7,1063
M0066,dv13,1534
M0066,dv19,1906
M0067,dv7,4
M0067,dv13,5
M0067,dv19,5
M0074,dv7,7
M0074,dv13,7
M0074,dv19,8
M0103,dv7,3175
M0103,dv13,3239
M0103,dv19,3236
M0123,dv7,202
M0123,dv13,225
M0123,dv19,224
M0130,dv7,217
M0130,dv13,279
M0130,dv19,269
M0148,dv7,2363
M0148,dv13,2505
M0148,dv19,2665
M0221,dv7,79
M0221,dv13,78
M0221,dv19,86
M0258,dv7,233
M0258,dv13,262
M0258,dv19,251
M0611,dv7,2
M0611,dv13,2
M0611,dv19,4
M1036,dv7,931
M1036,dv13,973
M1036,dv19,1124
M1094,dv7,397
M1094,dv13,429
M1094,dv19,436
M1096,dv7,43
M1096,dv13,59
M1096,dv19,56
M1107,dv7,78
M1107,dv13,80
M1107,dv19,84
M1208,dv7,52
M1208,dv13,64
M1208,dv19,77
M1240,dv7,18
M1240,dv13,18
M1240,dv19,17
